word,coefficient,abs_coef
wipp,0.17290090051348916,0.17290090051348916
charl,0.1722847466177416,0.1722847466177416
electro,0.17213353978990764,0.17213353978990764
chri,0.1718878927898482,0.1718878927898482
cont,0.1714900530137346,0.1714900530137346
resourc,0.17147976187998448,0.17147976187998448
nnw,0.17096799697380977,0.17096799697380977
lift,0.17088710064920795,0.17088710064920795
eurotunnel,0.17067154957247072,0.17067154957247072
bradleybradnum,0.17048836431206577,0.17048836431206577
prompt,0.17012712350612022,0.17012712350612022
ride,0.16936395186897849,0.16936395186897849
onlinecommun,0.16935621828103437,0.16935621828103437
ush,0.16838353927515692,0.16838353927515692
wocowa,0.16838353927515692,0.16838353927515692
pound,0.16743547841493805,0.16743547841493805
sicili,0.16740174436294103,0.16740174436294103
davidvonderhaar,0.16695543246034864,0.16695543246034864
multidimensi,0.16627865200800473,0.16627865200800473
bat,0.16566907183745433,0.16566907183745433
propos,0.1654217022537521,0.1654217022537521
acquir,0.1650486997756676,0.1650486997756676
memphi,0.1648550185730675,0.1648550185730675
founder,0.1648110445607121,0.1648110445607121
tepco,0.16476591442873675,0.16476591442873675
accident,0.16413720045634198,0.16413720045634198
bull,0.1638830441960806,0.1638830441960806
baruch,0.16388234693283182,0.16388234693283182
goldstein,0.16388234693283182,0.16388234693283182
fierc,0.16384669943530455,0.16384669943530455
eastbound,0.16367945253875815,0.16367945253875815
autoinsur,0.16367732563126403,0.16367732563126403
clueless,0.16367732563126403,0.16367732563126403
liveonknum,0.16360993498798226,0.16360993498798226
auto,0.16356063988403785,0.16356063988403785
ashley,0.16277736774620133,0.16277736774620133
christ,0.16258934960269783,0.16258934960269783
overnight,0.16254402867455997,0.16254402867455997
firey,0.16240018073976317,0.16240018073976317
inferno,0.16240018073976317,0.16240018073976317
globalwarm,0.16240018073976317,0.16240018073976317
wacko,0.16240018073976317,0.16240018073976317
michelebachman,0.16240018073976317,0.16240018073976317
vod,0.1622221385027223,0.1622221385027223
omar,0.1622045238731281,0.1622045238731281
generalnew,0.16188224659151432,0.16188224659151432
victori,0.1617302891985394,0.1617302891985394
save,0.1615971930685651,0.1615971930685651
psychiatr,0.16148472830798824,0.16148472830798824
topstori,0.16127659385361487,0.16127659385361487
glad,0.16118429694659733,0.16118429694659733
talkradio,0.1608612470339432,0.1608612470339432
southeast,0.16071018465442918,0.16071018465442918
lnum,0.16061206270038814,0.16061206270038814
hunter,0.16053331559788245,0.16053331559788245
panel,0.16025356332413532,0.16025356332413532
light,0.15982441586455046,0.15982441586455046
intensifi,0.15980851935263843,0.15980851935263843
nyt,0.15942432121885322,0.15942432121885322
rexyy,0.15891943574354767,0.15891943574354767
liberti,0.15872866678341416,0.15872866678341416
illus,0.1583043700670271,0.1583043700670271
hysteria,0.1582069063196375,0.1582069063196375
banerje,0.158021746081721,0.158021746081721
cm,0.158021746081721,0.158021746081721
mamata,0.158021746081721,0.158021746081721
dvc,0.158021746081721,0.158021746081721
bengal,0.158021746081721,0.158021746081721
ntsb,0.15799994862841557,0.15799994862841557
ptsdchat,0.1576101912020282,0.1576101912020282
princ,0.15726416710745664,0.15726416710745664
cocain,0.1567821824036964,0.1567821824036964
cup,0.15677173663852345,0.15677173663852345
batter,0.1566940772467586,0.1566940772467586
mnum,0.15639145762455967,0.15639145762455967
child,0.15637200656844055,0.15637200656844055
logo,0.156113967053864,0.156113967053864
sentinel,0.15603294543101132,0.15603294543101132
mouth,0.15576750706019438,0.15576750706019438
comingsoon,0.15529096064499012,0.15529096064499012
back,0.15483390734307037,0.15483390734307037
immedi,0.15419865125959,0.15419865125959
pmarca,0.15412656734837132,0.15412656734837132
click,0.15401241863494713,0.15401241863494713
europ,0.15400111228609722,0.15400111228609722
usg,0.15382836672920935,0.15382836672920935
drift,0.1538085614424024,0.1538085614424024
spit,0.15377264015759168,0.15377264015759168
programm,0.15327490870433153,0.15327490870433153
biolog,0.1530083535829489,0.1530083535829489
temptat,0.15287192547986087,0.15287192547986087
board,0.15238835606946072,0.15238835606946072
hand,0.15233650891118714,0.15233650891118714
whitbourn,0.1519131169039571,0.1519131169039571
rcmp,0.1519131169039571,0.1519131169039571
tch,0.1519131169039571,0.1519131169039571
cleric,0.15149429290371888,0.15149429290371888
prepared,0.1514788052013134,0.1514788052013134
oun,0.15147265491972303,0.15147265491972303
mf,0.1507701897067142,0.1507701897067142
safeti,0.1506771916103446,0.1506771916103446
charlott,0.15055685465305904,0.15055685465305904
stolen,0.15053848072944032,0.15053848072944032
occup,0.1499804191400787,0.1499804191400787
alleg,0.14957438365172349,0.14957438365172349
cb,0.1495261802962065,0.1495261802962065
wedn,0.14946997629194092,0.14946997629194092
box,0.14943802595529,0.14943802595529
eq,0.14943118423822244,0.14943118423822244
bathroom,0.1492790909931653,0.1492790909931653
examin,0.14925341744831538,0.14925341744831538
obispo,0.14920104425664119,0.14920104425664119
four,0.1488439826415625,0.1488439826415625
shift,0.14804008883040354,0.14804008883040354
beneath,0.14755586465954848,0.14755586465954848
baffl,0.14751142089071623,0.14751142089071623
edinburgh,0.1474740795192041,0.1474740795192041
plagu,0.14722930169067885,0.14722930169067885
hiker,0.14721846290388552,0.14721846290388552
later,0.14713636971684094,0.14713636971684094
daniel,0.14658069046985148,0.14658069046985148
fuel,0.14657029320803783,0.14657029320803783
level,0.1461154748309431,0.1461154748309431
wake,0.1460841429044663,0.1460841429044663
antonio,0.14602289374065625,0.14602289374065625
cowork,0.14562307229816204,0.14562307229816204
somewher,0.1454349484538117,0.1454349484538117
dant,0.14530510829351986,0.14530510829351986
tr,0.14513425292824317,0.14513425292824317
id,0.14512909102423802,0.14512909102423802
argument,0.14487027314055656,0.14487027314055656
nah,0.14435210647464655,0.14435210647464655
competit,0.1435823549645357,0.1435823549645357
gnum,0.14283048474932955,0.14283048474932955
remark,0.14280178043306924,0.14280178043306924
residenti,0.14258821886587086,0.14258821886587086
maryland,0.14255066495840238,0.14255066495840238
mansion,0.14255066495840238,0.14255066495840238
sneak,0.14196713079399392,0.14196713079399392
classic,0.14175846461168629,0.14175846461168629
electr,0.1416745955225083,0.1416745955225083
batteri,0.14140048749822792,0.14140048749822792
graveyard,0.14139193048896717,0.14139193048896717
owner,0.1411339699511364,0.1411339699511364
austin,0.14105985444242758,0.14105985444242758
ima,0.14102651298846305,0.14102651298846305
nv,0.14070377430067918,0.14070377430067918
orang,0.1404187879028265,0.1404187879028265
homosexu,0.13969524906717684,0.13969524906717684
milkshak,0.13917435889405927,0.13917435889405927
render,0.1390245751133088,0.1390245751133088
vladimir,0.13886684174916297,0.13886684174916297
drool,0.13884787816827474,0.13884787816827474
grief,0.13855462532837096,0.13855462532837096
client,0.13812028844906116,0.13812028844906116
planet,0.1380766820240074,0.1380766820240074
hama,0.1379411408337699,0.1379411408337699
eg,0.1379411408337699,0.1379411408337699
yorker,0.13741914650845463,0.13741914650845463
bounc,0.13711725928824292,0.13711725928824292
target,0.13692201727092143,0.13692201727092143
rout,0.13665075689324158,0.13665075689324158
ghost,0.13663463799632528,0.13663463799632528
horn,0.13646772015620515,0.13646772015620515
helen,0.13577158289679153,0.13577158289679153
worker,0.1355659521218107,0.1355659521218107
month,0.13547603464903882,0.13547603464903882
blame,0.13536500464224643,0.13536500464224643
ink,0.13511878493996632,0.13511878493996632
melt,0.13499684550295818,0.13499684550295818
latim,0.13475380304289605,0.13475380304289605
photoset,0.13463906839961337,0.13463906839961337
usnwsgov,0.13460355190927056,0.13460355190927056
enorm,0.1343741292849953,0.1343741292849953
moscow,0.13402694950966673,0.13402694950966673
ferrel,0.13400956548359347,0.13400956548359347
send,0.13400936160360016,0.13400936160360016
gallipoli,0.13386307664750036,0.13386307664750036
mental,0.13319050497233237,0.13319050497233237
buddha,0.1330760697868055,0.1330760697868055
driven,0.1328885180637669,0.1328885180637669
fte,0.13209529709031487,0.13209529709031487
breakingnum,0.1317713923833656,0.1317713923833656
pari,0.1312221126644471,0.1312221126644471
punch,0.13091329120670878,0.13091329120670878
motion,0.13081931391772242,0.13081931391772242
use,0.1308018506321563,0.1308018506321563
spend,0.12985559265562063,0.12985559265562063
shout,0.12970012537969788,0.12970012537969788
subject,0.12967645678863293,0.12967645678863293
threw,0.12902275074014055,0.12902275074014055
enhanc,0.12885945511262087,0.12885945511262087
unsaf,0.12873931555369594,0.12873931555369594
mole,0.12853716443250557,0.12853716443250557
msnbc,0.12833047643192186,0.12833047643192186
brief,0.1270128262151878,0.1270128262151878
ship,0.12696631613349357,0.12696631613349357
ford,0.1267814175715398,0.1267814175715398
bullet,0.12673530824231619,0.12673530824231619
adjust,0.1266922249705274,0.1266922249705274
reagan,0.12644184322342006,0.12644184322342006
greatbritishbakeoff,0.1262507192684294,0.1262507192684294
hybrid,0.12593615298579383,0.12593615298579383
phantom,0.12586980239681267,0.12586980239681267
conclus,0.1255410123023414,0.1255410123023414
distinct,0.12549659064209545,0.12549659064209545
seismic,0.12536092022513654,0.12536092022513654
turkish,0.12533491621991671,0.12533491621991671
knee,0.12531958172656243,0.12531958172656243
venic,0.12513165631150816,0.12513165631150816
restiv,0.12486162340894487,0.12486162340894487
scariest,0.12477970699047757,0.12477970699047757
miseri,0.1246876117104512,0.1246876117104512
born,0.12428158201903833,0.12428158201903833
stun,0.1232650547402869,0.1232650547402869
casper,0.12317574200511328,0.12317574200511328
ii,0.12284016495503748,0.12284016495503748
